entity,entity_full_name,agency,date,action_type,from_rating,to_rating,instrument_type,rationale_url,notes
Shriram Finance,Shriram Finance Limited,CRISIL,2021-07-13,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Shriram Finance,Shriram Finance Limited,CRISIL,2021-07-30,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Mobil Trust Series 23; BFSI; Unlisted; Source: archive/2022-09
Shriram Finance,Shriram Finance Limited,CRISIL,2021-08-12,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Mobil Trust Series 20; BFSI; Unlisted; Source: archive/2022-09
Shriram Finance,Shriram Finance Limited,CRISIL,2021-08-13,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Mobil Trust Series 21; BFSI; Unlisted; Source: archive/2022-09
Shriram Finance,Shriram Finance Limited,CRISIL,2021-08-17,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+(SO),Second Loss Facility (securitized),,Trust: Sansar Trust May 2021; Securitisation; Unlisted; Source: archive/2024-09
Shriram Finance,Shriram Finance Limited,CRISIL,2021-08-17,affirmed,Provisional CRISIL A(SO),CRISIL A(SO),Series A2 PTCs (securitized),,Trust: Sansar Trust May 2021; Securitisation; Unlisted; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-08-17,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA (SO),Series A1 PTCs (securitized),,Trust: Sansar Trust May 2021; Securitisation; Unlisted; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-08-17,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA (SO,Securitized,,Trust: Sansar Trust May 2021; BFSI; Unlisted; Source: archive/2022-09
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-08,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-08,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Mobil Trust Series 23; BFSI; Unlisted; Source: archive/2022-09
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-16,initial,,Provisional CRISIL BBB+(SO),Second loss facility (securitized),,Trust: Sansar Trust Sep 2021 II; Securitisation; Listed; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-16,initial,,Provisional CRISIL AAA(SO),Series A1(e) (securitized),,Trust: Sansar Trust Sep 2021 II; Securitisation; Listed; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-16,initial,,Provisional CRISIL A(SO),Series A2 (securitized),,Trust: Sansar Trust Sep 2021 II; Securitisation; Listed; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-16,initial,,Provisional CRISIL A1+(SO),Securitized,,Trust: Sansar Trust Sep 2021 II; BFSI; Listed; Source: archive/2022-09
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-21,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+(SO),Second loss facility (securitized),,Trust: Sansar Trust Sep 2021 II; Securitisation; Listed; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-21,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Series A1(e) (securitized),,Trust: Sansar Trust Sep 2021 II; Securitisation; Listed; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-21,affirmed,Provisional CRISIL A(SO),CRISIL A(SO),Series A2 (securitized),,Trust: Sansar Trust Sep 2021 II; Securitisation; Listed; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-21,affirmed,Provisional CRISIL A1+(SO),CRISIL A1+(SO),Securitized,,Trust: Sansar Trust Sep 2021 II; BFSI; Listed; Source: archive/2022-09
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-22,initial,,Provisional CRISIL BBB+(SO),Second loss Facility (securitized),,Trust: Sansar Trust Sep 2021 IV; Securitisation; Unlisted; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-22,initial,,Provisional CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Sansar Trust Sep 2021 IV; Securitisation; Unlisted; Source: archive/2023-10
Shriram Finance,Shriram Finance Limited,CRISIL,2021-09-29,initial,,Provisional CRISIL BBB+(SO),Second Loss Facility (securitized),,Trust: Sansar Trust Sep 2021; Securitisation; Unlisted; Source: archive/2023-10
