entity,entity_full_name,agency,date,action_type,from_rating,to_rating,instrument_type,rationale_url,notes
Aavas Financiers,Aavas Financiers Limited,ICRA,2016-03-11,initial,,[ICRA] A,NCD,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2017-04-20,initial,,[ICRA] AA,Prime Home Loan Trust I PTC Series A,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2017-09-08,upgrade,[ICRA] A,[ICRA] A+,NCD,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2017-10-06,initial,,[ICRA] AA,Prime Home Loan Trust II PTC Series A,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2019-03-20,upgrade,[ICRA] AA,[ICRA] AA+,Prime Home Loan Trust II PTC Series A,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2019-03-20,affirmed,[ICRA] AA,(SO),Prime Home Loan Trust II PTC Series A,,source=history_H1_2025-2026
Aavas Financiers,Aavas Financiers Limited,ICRA,2019-03-20,upgrade,[ICRA] AA,[ICRA] AAA,Prime Home Loan Trust I PTC Series A,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2020-08-19,upgrade,[ICRA] A+,[ICRA] AA-,NCD,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2022-05-26,upgrade,[ICRA] AA+,[ICRA] AAA,Prime Home Loan Trust II PTC Series A,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2022-06-29,upgrade,[ICRA] AA-,[ICRA] AA,NCD,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2023-07-03,initial,,[ICRA] AA,Prime Home Loan Trust III PTC Series A,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2023-08-30,initial,,[ICRA] AA,Prime Home Loan Trust IV PTC Series A,,source=history_H1_2023-2024
Aavas Financiers,Aavas Financiers Limited,ICRA,2023-10-16,initial,,[ICRA] AA,Prime Home Loan Trust III PTC Series A,,source=history_H1_2024-2025
Aditya Birla Finance,Aditya Birla Finance Limited,ICRA,2011-07-08,initial,,[ICRA] AA,NCD,,source=history_H1_2023-2024
Aditya Birla Finance,Aditya Birla Finance Limited,ICRA,2011-10-24,initial,,[ICRA] AA,Subordinate Debt,,source=history_H1_2023-2024
Aditya Birla Finance,Aditya Birla Finance Limited,ICRA,2014-07-01,upgrade,[ICRA] AA,[ICRA] AA+,Subordinate Debt,,source=history_H1_2023-2024
Aditya Birla Finance,Aditya Birla Finance Limited,ICRA,2017-07-12,initial,,[ICRA] AA,Perpetual Debt,,source=history_H1_2023-2024
Aditya Birla Finance,Aditya Birla Finance Limited,ICRA,2018-08-28,upgrade,[ICRA] AA+,[ICRA] AAA,Subordinate Debt,,source=history_H1_2023-2024
Aditya Birla Finance,Aditya Birla Finance Limited,ICRA,2018-08-28,upgrade,[ICRA] AA,[ICRA] AA+,Perpetual Debt,,source=history_H1_2023-2024
Aditya Birla Finance,Aditya Birla Finance Limited,CRISIL,2024-08-13,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Aditya Birla Finance,Aditya Birla Finance Limited,CRISIL,2024-08-13,initial,,CRISIL AA+,Perpetual Bonds,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Altico Capital,Altico Capital India Private Limited,India Ratings,2019-09-03,downgrade,IND AA-,IND A+,Long Term Debt,https://www.indiaratings.co.in/PressRelease?pressReleaseID=38482,LT downgraded from IND AA- to IND A+ (Negative); real estate sector pressure; tighter funding; Chairman Naina Lal Kidwai resigned same day
Altico Capital,Altico Capital India Private Limited,India Ratings,2019-09-03,downgrade,IND A1+,IND A1,Commercial Paper,,CP downgraded from IND A1+ to IND A1 (Negative)
Altico Capital,Altico Capital India Private Limited,CARE,2019-09-13,downgrade,CARE AA-,CARE B,Long Term Debt,"https://www.vistraitcl.com/sites/default/files/Revision%20in%20Credit%20Rating_Altico%20Capital%20India%20Ltd._September%2013,%202019_CARE.pdf",Proposed LT bank facilities downgraded from CARE AA- to CARE B (Negative); default on ECB interest
Altico Capital,Altico Capital India Private Limited,India Ratings,2019-09-13,default,IND A+,IND D,Long Term Debt,https://www.vistraitcl.com/sites/default/files/Revision%20in%20Credit%20Rating_Altico%20Capital%20India%20Ltd._September%2013%202019_Indiarating.pdf,Downgraded to IND D; default on Rs 20 cr interest on ECBs to Mashreq Bank on Sep 12 2019; principal Rs 340 cr
Altico Capital,Altico Capital India Private Limited,India Ratings,2019-09-13,default,IND A1,IND D,Commercial Paper,,ST rating downgraded to IND D
Altico Capital,Altico Capital India Private Limited,CARE,2019-09-30,withdrawn,CARE B,Withdrawn,Long Term Debt,https://www.careratings.com/upload/CompanyFiles/PR/Altico%20Capital%20India%20Limited-09-30-2019.pdf,Rating withdrawn; no amount outstanding against proposed facilities
Aptus Value Housing,Aptus Value Housing Finance India Limited,ICRA,2017-12-04,initial,,[ICRA] A,NCD,,source=history_H1_2023-2024
Aptus Value Housing,Aptus Value Housing Finance India Limited,ICRA,2019-11-18,upgrade,[ICRA] A,[ICRA] A+,NCD,,source=history_H1_2023-2024
Aptus Value Housing,Aptus Value Housing Finance India Limited,ICRA,2021-12-14,upgrade,[ICRA] A+,[ICRA] AA-,NCD,,source=history_H1_2023-2024
Aptus Value Housing,Aptus Value Housing Finance India Limited,ICRA,2025-08-13,upgrade,[ICRA] AA- (Stable),[ICRA] AA (Stable),Non-convertible debentures,,source=movement_H1_2025-2026; trigger=Annual Surveillance
Aptus Value Housing,Aptus Value Housing Finance India Limited,ICRA,2025-08-13,upgrade,[ICRA] AA-,[ICRA] AA,NCD,,source=history_H1_2025-2026
Bajaj Finance,Bajaj Finance Limited,CRISIL,2010-03-02,initial,,CRISIL AA+,Lower Tier II Bonds,,Non Banking Financial Company; Listed; Source: archive/2022-09
Bajaj Finance,Bajaj Finance Limited,CRISIL,2010-08-18,initial,,CRISIL AA+,Lower Tier II Bonds,,Non Banking Financial Company; Listed; Source: archive/2022-09
Bajaj Finance,Bajaj Finance Limited,ICRA,2011-04-04,initial,,[ICRA] AA+,Subordinate Debt,,source=history_H1_2023-2024
Bajaj Finance,Bajaj Finance Limited,CRISIL,2012-03-19,initial,,CRISIL AA+,Lower Tier II Bonds,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2014-08-26,initial,,CRISIL AA+,Subordinated Debt,,Non Banking Financial Company (NBFC); Listed; Source: archive/2024-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2014-08-28,initial,,CRISIL AA+,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2014-12-17,initial,,CRISIL AA+,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2015-04-24,initial,,CRISIL AA+,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2016-03-22,initial,,CRISIL AA+,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2016-10-05,upgrade,CRISIL AA+,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2016-12-07,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2024-09
Bajaj Finance,Bajaj Finance Limited,CRISIL,2017-04-04,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,ICRA,2017-06-07,upgrade,[ICRA] AA+,[ICRA] AAA,Subordinate Debt,,source=history_H1_2023-2024
Bajaj Finance,Bajaj Finance Limited,CRISIL,2017-06-14,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2024-09
Bajaj Finance,Bajaj Finance Limited,CRISIL,2017-06-15,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,ICRA,2017-10-23,initial,,[ICRA] AAA,NCD,,source=history_H1_2023-2024
Bajaj Finance,Bajaj Finance Limited,CRISIL,2017-10-24,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2018-11-05,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2018-12-27,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2019-03-22,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
Bajaj Finance,Bajaj Finance Limited,CRISIL,2019-07-26,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2019-12-03,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2020-12-01,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2021-04-23,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2021-09-22,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2022-02-15,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2022-03-01,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2022-04-06,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2023-04-06,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2023-05-30,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,CRISIL,2024-05-27,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
Bajaj Finance,Bajaj Finance Limited,ICRA,2025-03-11,initial,,[ICRA] AAA,Pharaoh PTC Mar 2025 Series I Trust Series A1 PTC,,source=history_H2_2024-2025
Bajaj Finance,Bajaj Finance Limited,CRISIL,2025-04-01,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt Listed; Source: current
Bajaj Finance,Bajaj Finance Limited,CRISIL,2025-06-27,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt Listed; Source: current
Bajaj Finance,Bajaj Finance Limited,CRISIL,2025-07-01,initial,,Provisional CRISIL AAA (SO),Series A1 PTCs (securitized),,Trust: Pharaoh June 2025 Series I; Securitisation; Debt Unlisted; Source: current
Bajaj Finance,Bajaj Finance Limited,CRISIL,2025-09-17,affirmed,Provisional CRISIL AAA (SO),CRISIL AAA (SO),Series A1 PTCs (securitized),,Trust: Pharaoh June 2025 Series I; Securitisation; Debt Unlisted; Source: current
Can Fin Homes,Can Fin Homes Limited,ICRA,2014-10-14,initial,,[ICRA] AAA,Subordinate Debt,,source=history_H1_2023-2024
Can Fin Homes,Can Fin Homes Limited,ICRA,2019-05-06,downgrade,[ICRA] AAA,[ICRA] AA+,Subordinate Debt,,source=history_H1_2023-2024
Can Fin Homes,Can Fin Homes Limited,ICRA,2023-12-22,upgrade,[ICRA] AA+ (Stable),[ICRA] AAA (Stable),Non convertible debenture,,source=movement_H2_2023-2024; trigger=Annual Surveillance
Can Fin Homes,Can Fin Homes Limited,ICRA,2023-12-22,upgrade,[ICRA] AA+,[ICRA] AAA,Subordinate Debt,,source=history_H1_2024-2025
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2012-08-09,initial,,CRISIL AA-,Lower Tier II Bonds,,Non Banking Financial Company; Listed; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2015-06-19,upgrade,CRISIL AA-,CRISIL AA,Lower Tier II Bonds,,Non Banking Financial Company; Listed; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2017-09-07,initial,,[ICRA] AA,NCD,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2018-04-27,upgrade,[ICRA] AA,[ICRA] AA+,NCD,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2018-06-22,upgrade,CRISIL AA,CRISIL AA+,Lower Tier II Bonds,,Non Banking Financial Company; Listed; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-04-11,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Platinum Trust March 2019; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-04-11,initial,,Provisional CRISIL BBB+(SO),Securitized,,Trust: Platinum Trust March 2019; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-07-12,initial,,Provisional CRISIL BBB+(SO),Securitized,,Trust: Platinum Trust June 2019 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-07-12,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Platinum Trust June 2019 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-08-30,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+(SO),Securitized,,Trust: Platinum Trust March 2019; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-08-30,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Platinum Trust March 2019; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-10-17,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Platinum Trust September 2019 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-10-17,initial,,Provisional CRISIL BBB+(SO),Securitized,,Trust: Platinum Trust September 2019 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-10-29,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+(SO),Securitized,,Trust: Platinum Trust June 2019 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2019-10-29,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Platinum Trust June 2019 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-01-09,initial,,Provisional CRISIL BBB(SO),Second Loss Facility (securitized),,Trust: Platinum Trust December 2019; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-01-09,initial,,Provisional CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Platinum Trust December 2019; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-02-14,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Platinum Trust September 2019 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-02-14,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+(SO),Securitized,,Trust: Platinum Trust September 2019 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2020-03-11,initial,,[ICRA] BBB+,Platinum Trust February 2020 Second Loss Facility,,source=history_H2_2022-2023
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2020-03-11,initial,,[ICRA] AAA,Platinum Trust February 2020 PTC Series A,,source=history_H2_2022-2023
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-06-05,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Platinum Trust March 2020 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-06-05,initial,,Provisional CRISIL BBB+(SO),Securitized,,Trust: Platinum Trust March 2020 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-07-06,affirmed,Provisional CRISIL BBB(SO),CRISIL BBB(SO),Second Loss Facility (securitized),,Trust: Platinum Trust December 2019; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-07-06,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Platinum Trust December 2019; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-12-02,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+(SO),Securitized,,Trust: Platinum Trust March 2020 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2020-12-02,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Platinum Trust March 2020 - Tranche II; BFSI; Unlisted; Source: archive/2022-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2021-03-09,initial,,[ICRA] AA,Perpetual Debt,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2021-04-01,initial,,[ICRA] BBB-,Platinum Trust March 2021 Second Loss Facility,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2021-04-01,initial,,[ICRA] AAA,Platinum Trust March 2021 PTC Series A,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-04-08,initial,,Provisional CRISIL BBB+(SO),Second loss facility (securitized),,Trust: Platinum Trust March 2021 - Tranche II; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-04-08,initial,,Provisional CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Platinum Trust March 2021 - Tranche II; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-06-28,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+(SO),Second loss facility (securitized),,Trust: Platinum Trust March 2021 - Tranche II; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-06-28,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Platinum Trust March 2021 - Tranche II; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-06-28,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA (SO),Securitized,,Trust: Platinum Trust March 2021 - Tranche II; Securitisation; Unlisted; Source: archive/2024-03
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2021-06-29,initial,,[ICRA] AA+,Subordinate Debt,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2021-10-08,initial,,[ICRA] BBB-,Platinum Trust September 2021- Tranche II Second Loss Facility,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2021-10-08,initial,,[ICRA] AAA,Platinum Trust September 2021- Tranche II PTC Series A,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-10-11,initial,,Provisional CRISIL BBB+(SO),Second loss facility (securitized),,Trust: Platinum Trust September 2021; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-10-11,initial,,Provisional CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Platinum Trust September 2021; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-12-29,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+(SO),Second loss facility (securitized),,Trust: Platinum Trust September 2021; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-12-29,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Platinum Trust September 2021; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2021-12-29,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA (SO),Securitized,,Trust: Platinum Trust September 2021; Securitisation; Unlisted; Source: archive/2024-03
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-01-21,initial,,Provisional CRISIL BBB+(SO),Second Loss Facility (securitized),,Trust: Platinum Trust December 2021; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-01-21,initial,,Provisional CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Platinum Trust December 2021; Securitisation; Unlisted; Source: archive/2024-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-03-23,affirmed,Provisional CRISIL BBB+(SO),CRISIL BBB+ (SO),Second Loss Facility (securitized),,Trust: Platinum Trust December 2021; Securitisation; Unlisted; Source: archive/2024-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-03-23,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Platinum Trust December 2021; Securitisation; Unlisted; Source: archive/2024-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-04-06,initial,,Provisional CRISIL BBB+ (SO),Second Loss Facility (securitized),,Trust: Platinum Trust March 2022; Securitisation; Unlisted; Source: archive/2024-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-04-06,initial,,Provisional CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Platinum Trust March 2022; Securitisation; Unlisted; Source: archive/2024-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2022-06-27,upgrade,[ICRA] BBB+,[ICRA] A,Platinum Trust February 2020 Second Loss Facility,,source=history_H2_2022-2023
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-06-29,affirmed,Provisional CRISIL BBB+ (SO),CRISIL BBB+ (SO),Second Loss Facility (securitized),,Trust: Platinum Trust March 2022; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-06-29,affirmed,Provisional CRISIL AAA (SO),CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Platinum Trust March 2022; Securitisation; Unlisted; Source: archive/2025-03
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-07-19,initial,,Provisional CRISIL BBB+ (SO),Second loss facility (securitized),,Trust: Platinum Trust June 2022; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-07-19,initial,,Provisional CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Platinum Trust June 2022; Securitisation; Unlisted; Source: archive/2024-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-08-10,initial,,Provisional CRISIL BBB+ (SO),Second Loss Facility (securitized),,Trust: Platinum Trust July 2022; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-08-10,initial,,Provisional CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Platinum Trust July 2022; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-09-16,upgrade,CRISIL BBB(SO),CRISIL A (SO),Second Loss Facility (securitized),,Trust: Platinum Trust December 2019; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-09-21,initial,,Provisional CRISIL BBB+ (SO),Second Loss Facility (securitized),,Trust: PLATINUM TRUST SEP2022 – TRANCH II; Securitisation; Unlisted; Source: archive/2024-09
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-09-21,initial,,Provisional CRISIL AAA (SO),Series A PTCs (securitized),,Trust: PLATINUM TRUST SEP2022 – TRANCH II; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-09-26,affirmed,Provisional CRISIL BBB+ (SO),CRISIL BBB+ (SO),Second Loss Facility (securitized),,Trust: Platinum Trust July 2022; Securitisation; Unlisted; Source: archive/2023-10
Cholamandalam,Cholamandalam Investment and Finance Company Limited,CRISIL,2022-09-26,affirmed,Provisional CRISIL AAA (SO),CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Platinum Trust July 2022; Securitisation; Unlisted; Source: archive/2025-03
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2022-09-30,initial,,[ICRA] BBB+,DBS VF Platinum Trust Sep 2022 III Second Loss Facility,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2022-09-30,initial,,[ICRA] AAA,DBS VF Platinum Trust Sep 2022 III PTC Series A,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2022-10-03,initial,,[ICRA] BBB+,Platinum Trust Sep 2022 Tranche IV Second Loss Facility,,source=history_H1_2023-2024
Cholamandalam,Cholamandalam Investment and Finance Company Limited,ICRA,2022-10-03,initial,,[ICRA] AAA,Platinum Trust Sep 2022 Tranche IV PTC Series A,,source=history_H1_2024-2025
